Country_A,Country_B
China,Afghanistan
China,Argentina
China,Australia
China,Bangladesh
China,Bhutan
China,Brazil
China,Cambodia
China,Chile
China,China
China,Colombia
China,France
China,Germany
China,India
China,Indonesia
China,Iran
China,Italy
China,Japan
China,Kazakhstan
China,Kyrgyzstan
China,Laos
China,Malaysia
China,Mongolia
China,Myanmar
China,Nepal
China,Pakistan
China,Peru
China,Philippines
China,Russia
China,Singapore
China,Taiwan
China,Tajikistan
China,Thailand
China,Vietnam
India,Australia
India,Bangladesh
India,Bhutan
India,Brunei
India,Cambodia
India,Canada
India,China
India,France
India,India
India,Indonesia
India,Israel
India,Japan
India,Laos
India,Malaysia
India,Maldives
India,Myanmar
India,Nepal
India,Pakistan
India,Philippines
India,Russia
India,Thailand
India,Vietnam
United States,Canada
United States,China
United States,Colombia
United States,Denmark
United States,India
United States,Kuwait
United States,Mexico
United States,Nigeria
United States,Palau
United States,Philippines
United States,Russia
United States,Taiwan
United States,Vietnam
Indonesia,Australia
Indonesia,Brazil
Indonesia,Brunei
Indonesia,China
Indonesia,Guinea
Indonesia,India
Indonesia,Indonesia
Indonesia,Iraq
Indonesia,Israel
Indonesia,Japan
Indonesia,Malaysia
Indonesia,Netherlands
Indonesia,Palau
Indonesia,Peru
Indonesia,Philippines
Indonesia,Portugal
Indonesia,Singapore
Indonesia,Spain
Indonesia,Taiwan
Indonesia,Thailand
Indonesia,Vietnam
Pakistan,Afghanistan
Pakistan,Algeria
Pakistan,Armenia
Pakistan,Bangladesh
Pakistan,Canada
Pakistan,China
Pakistan,Egypt
Pakistan,Eritrea
Pakistan,Ethiopia
Pakistan,France
Pakistan,India
Pakistan,Indonesia
Pakistan,Iran
Pakistan,Iraq
Pakistan,Israel
Pakistan,Jordan
Pakistan,Mali
Pakistan,Morocco
Pakistan,Myanmar
Pakistan,Oman
Pakistan,Pakistan
Pakistan,Philippines
Pakistan,Russia
Pakistan,Somalia
Pakistan,Tajikistan
Pakistan,Tunisia
Pakistan,Turkey
Nigeria,Algeria
Nigeria,Angola
Nigeria,Argentina
Nigeria,Australia
Nigeria,Belgium
Nigeria,Benin
Nigeria,Botswana
Nigeria,Cameroon
Nigeria,Chad
Nigeria,Egypt
Nigeria,Ghana
Nigeria,Guinea
Nigeria,India
Nigeria,Liberia
Nigeria,Morocco
Nigeria,Mozambique
Nigeria,Namibia
Nigeria,Niger
Nigeria,Nigeria
Nigeria,Russia
Nigeria,Senegal
Nigeria,Sudan
Nigeria,Syria
Nigeria,Togo
Nigeria,Zimbabwe
Brazil,Angola
Brazil,Argentina
Brazil,Armenia
Brazil,Bolivia
Brazil,Brazil
Brazil,Canada
Brazil,Chile
Brazil,China
Brazil,Colombia
Brazil,Ecuador
Brazil,France
Brazil,Germany
Brazil,Guyana
Brazil,Haiti
Brazil,India
Brazil,Indonesia
Brazil,Italy
Brazil,Japan
Brazil,Lebanon
Brazil,Mexico
Brazil,Mozambique
Brazil,Netherlands
Brazil,Paraguay
Brazil,Peru
Brazil,Portugal
Brazil,Russia
Brazil,Suriname
Brazil,Uruguay
Brazil,Venezuela
Bangladesh,Afghanistan
Bangladesh,Armenia
Bangladesh,Bangladesh
Bangladesh,Bhutan
Bangladesh,Brunei
Bangladesh,China
Bangladesh,Egypt
Bangladesh,Haiti
Bangladesh,India
Bangladesh,Iran
Bangladesh,Israel
Bangladesh,Japan
Bangladesh,Kuwait
Bangladesh,Maldives
Bangladesh,Myanmar
Bangladesh,Nepal
Bangladesh,Pakistan
Bangladesh,Philippines
Bangladesh,Russia
Bangladesh,Singapore
Bangladesh,Yemen
Russia,Afghanistan
Russia,Austria
Russia,Belarus
Russia,China
Russia,Cuba
Russia,Denmark
Russia,Estonia
Russia,Finland
Russia,France
Russia,Germany
Russia,Hungary
Russia,India
Russia,Iran
Russia,Kazakhstan
Russia,Latvia
Russia,Lithuania
Russia,Norway
Russia,Poland
Russia,Romania
Russia,Russia
Russia,Serbia
Russia,Sweden
Russia,Syria
Russia,Turkey
Russia,Ukraine
Mexico,Argentina
Mexico,Belize
Mexico,Bolivia
Mexico,Brazil
Mexico,Canada
Mexico,Chile
Mexico,China
Mexico,Colombia
Mexico,Cuba
Mexico,Ecuador
Mexico,France
Mexico,Germany
Mexico,Guatemala
Mexico,Japan
Mexico,Mexico
Mexico,Panama
Mexico,Philippines
Mexico,Spain
Mexico,Taiwan
Mexico,Uruguay
Mexico,Venezuela
Japan,Australia
Japan,Brazil
Japan,China
Japan,Germany
Japan,India
Japan,Japan
Japan,Russia
Japan,Singapore
Japan,Taiwan
Philippines,Australia
Philippines,China
Philippines,India
Philippines,Indonesia
Philippines,Japan
Philippines,Malaysia
Philippines,Mexico
Philippines,Palau
Philippines,Philippines
Philippines,Russia
Philippines,Singapore
Philippines,Spain
Philippines,Taiwan
Philippines,Vietnam
Ethiopia,Bolivia
Ethiopia,Burundi
Ethiopia,China
Ethiopia,Djibouti
Ethiopia,Egypt
Ethiopia,Eritrea
Ethiopia,Ethiopia
Ethiopia,India
Ethiopia,Israel
Ethiopia,Kenya
Ethiopia,Liberia
Ethiopia,Nigeria
Ethiopia,Rwanda
Ethiopia,Somalia
Ethiopia,Sudan
Ethiopia,Tanzania
Ethiopia,Uganda
Egypt,Albania
Egypt,Argentina
Egypt,Armenia
Egypt,Bangladesh
Egypt,Canada
Egypt,China
Egypt,Eritrea
Egypt,Ethiopia
Egypt,France
Egypt,India
Egypt,Iran
Egypt,Iraq
Egypt,Israel
Egypt,Italy
Egypt,Jordan
Egypt,Kuwait
Egypt,Libya
Egypt,Malta
Egypt,Qatar
Egypt,Russia
Egypt,Somalia
Egypt,Sudan
Egypt,Syria
Egypt,Turkey
Egypt,Yemen
Vietnam,Australia
Vietnam,Brunei
Vietnam,Cambodia
Vietnam,China
Vietnam,Denmark
Vietnam,France
Vietnam,Germany
Vietnam,India
Vietnam,Indonesia
Vietnam,Japan
Vietnam,Laos
Vietnam,Malaysia
Vietnam,Mongolia
Vietnam,Netherlands
Vietnam,Pakistan
Vietnam,Philippines
Vietnam,Russia
Vietnam,Singapore
Vietnam,Thailand
Vietnam,Vietnam
Democratic Republic of the Congo,Algeria
Democratic Republic of the Congo,Angola
Democratic Republic of the Congo,Belgium
Democratic Republic of the Congo,Botswana
Democratic Republic of the Congo,Burundi
Democratic Republic of the Congo,Chad
Democratic Republic of the Congo,China
Democratic Republic of the Congo,Ethiopia
Democratic Republic of the Congo,France
Democratic Republic of the Congo,Gabon
Democratic Republic of the Congo,Kenya
Democratic Republic of the Congo,Liberia
Democratic Republic of the Congo,Mali
Democratic Republic of the Congo,Morocco
Democratic Republic of the Congo,Namibia
Democratic Republic of the Congo,Rwanda
Democratic Republic of the Congo,Sudan
Democratic Republic of the Congo,Tanzania
Democratic Republic of the Congo,Togo
Democratic Republic of the Congo,Uganda
Democratic Republic of the Congo,Zambia
Democratic Republic of the Congo,Zimbabwe
Turkey,Afghanistan
Turkey,Albania
Turkey,Armenia
Turkey,Azerbaijan
Turkey,Belgium
Turkey,Bulgaria
Turkey,Canada
Turkey,Chile
Turkey,Cyprus
Turkey,Egypt
Turkey,Germany
Turkey,Greece
Turkey,Hungary
Turkey,India
Turkey,Iran
Turkey,Iraq
Turkey,Israel
Turkey,Italy
Turkey,Kosovo
Turkey,Netherlands
Turkey,Qatar
Turkey,Romania
Turkey,Russia
Turkey,Somalia
Turkey,Spain
Turkey,Syria
Turkey,Ukraine
Germany,Afghanistan
Germany,Austria
